carat,cut,color,clarity,depth,table,x,y,z,price
1.2,Ideal,G,SI1,60.5,56.0,6.84,6.87,4.15,5996
0.3,Ideal,H,VS1,62.9,57.0,4.29,4.26,2.69,675
0.3,Premium,H,SI2,61.9,60.0,4.27,4.29,2.65,378
1.01,Ideal,F,VS2,60.9,58.0,6.43,6.47,3.93,7411
0.52,Very Good,H,VS1,59.6,57.0,5.25,5.34,3.15,1320
0.41,Ideal,H,SI1,62.6,55.0,4.79,4.77,2.99,876
1.01,Premium,H,VS2,61.3,59.0,6.45,6.41,3.94,5260
0.67,Good,D,SI2,64.7,55.0,5.5,5.54,3.57,1664
1.2,Ideal,E,VVS1,60.1,61.0,6.83,6.91,4.13,15185
2.11,Premium,H,SI2,60.9,59.0,8.3,8.25,5.04,12633
0.4,Ideal,F,VVS2,61.1,57.0,4.8,4.73,2.91,1039
0.52,Ideal,I,VS2,61.9,58.0,5.14,5.17,3.19,1232
0.71,Ideal,F,SI1,61.5,56.0,5.76,5.69,3.52,2633
1.25,Very Good,F,SI2,58.0,63.0,7.16,7.06,4.13,5851
0.41,Very Good,I,SI2,63.5,57.0,4.72,4.7,2.99,692
1.05,Ideal,F,VVS1,61.6,55.0,6.57,6.53,4.04,10872
0.3,Premium,I,VVS1,61.1,59.0,4.33,4.31,2.64,709
0.57,Premium,F,VS1,59.9,59.0,5.35,5.4,3.22,1689
0.52,Ideal,E,VS1,61.3,56.0,5.18,5.22,3.19,1886
1.52,Fair,H,SI1,65.3,58.0,7.14,7.1,4.65,8001
0.35,Premium,F,VS2,62.1,60.0,4.45,4.51,2.78,706
1.0,Premium,F,SI1,59.4,62.0,6.55,6.52,3.88,3881
0.53,Ideal,G,SI1,62.4,55.0,5.21,5.18,3.24,1329
1.67,Very Good,J,SI1,62.3,59.0,7.59,7.63,4.74,7911
1.01,Very Good,H,VS1,64.0,54.0,6.3,6.38,4.06,5305
1.14,Premium,D,SI2,62.6,58.0,6.64,6.58,4.14,4520
0.33,Ideal,H,VS2,61.2,55.0,4.45,4.47,2.73,521
0.34,Very Good,F,VVS2,61.0,56.0,4.51,4.53,2.76,825
0.34,Premium,H,VS1,62.2,58.0,4.43,4.48,2.77,596
0.25,Very Good,F,IF,61.5,56.0,4.04,4.06,2.48,560
1.02,Ideal,G,SI1,60.6,59.0,6.55,6.52,3.96,5044
0.71,Premium,H,SI1,61.0,58.0,5.73,5.77,3.51,2006
2.15,Premium,H,SI2,62.2,56.0,8.29,8.2,5.13,12458
0.41,Good,F,SI1,58.4,58.0,4.91,4.96,2.88,676
1.51,Ideal,G,VS2,61.8,55.0,7.43,7.39,4.58,12626
1.0,Ideal,E,SI2,62.2,52.0,6.42,6.47,4.01,4808
0.43,Ideal,F,IF,60.9,57.0,4.89,4.86,2.97,1580
0.29,Premium,F,SI1,62.4,58.0,4.26,4.24,2.65,518
0.51,Premium,F,VVS2,62.3,58.0,5.08,5.1,3.17,1953
1.29,Very Good,E,VS1,61.8,57.0,6.99,6.93,4.3,10780
0.4,Very Good,E,VS1,62.6,56.0,4.67,4.72,2.94,1053
0.96,Premium,I,SI2,62.7,58.0,6.24,6.2,3.9,3229
1.23,Premium,H,VS2,59.5,59.0,7.08,7.01,4.19,7431
0.35,Ideal,D,VS2,61.5,56.0,4.55,4.53,2.79,1063
0.51,Very Good,F,VS2,61.0,58.0,5.1,5.17,3.13,1569
0.92,Ideal,G,SI1,62.6,55.0,6.22,6.24,3.9,4249
0.7,Good,E,SI1,60.4,61.0,5.73,5.76,3.47,2696
0.58,Ideal,E,SI2,62.4,58.0,5.32,5.35,3.33,1359
0.35,Ideal,E,IF,62.2,56.0,4.51,4.52,2.81,1197
0.85,Ideal,E,SI1,60.7,57.0,6.11,6.14,3.72,4181
1.23,Very Good,J,VS2,62.9,59.0,6.8,6.85,4.29,4896
2.03,Premium,I,SI1,59.9,58.0,8.23,8.21,4.92,15095
0.51,Good,E,SI1,63.2,61.0,5.05,5.08,3.2,1343
0.38,Ideal,E,VVS2,62.0,57.0,4.62,4.61,2.86,1176
0.72,Premium,G,VVS2,61.6,58.0,5.78,5.81,3.57,2720
0.76,Very Good,E,SI1,60.4,58.0,5.91,5.97,3.59,3261
0.72,Premium,E,SI1,63.0,56.0,5.76,5.73,3.62,2666
0.52,Ideal,I,IF,60.2,56.0,5.23,5.27,3.16,1988
1.0,Premium,I,VS1,60.1,62.0,6.5,6.47,3.9,3763
0.73,Very Good,F,VVS2,61.9,59.0,5.72,5.84,3.58,3442
1.35,Premium,G,VS2,62.7,56.0,7.08,7.05,4.43,9253
1.02,Premium,G,VS1,61.0,58.0,6.55,6.49,3.98,6683
0.8,Ideal,G,SI2,62.2,56.0,5.95,5.91,3.69,2749
0.24,Ideal,F,VS1,61.8,54.0,3.99,4.03,2.48,572
0.4,Premium,F,VS2,59.3,59.0,4.83,4.79,2.85,1080
2.3,Very Good,I,SI2,60.6,60.0,8.51,8.56,5.17,14603
0.34,Premium,H,VS1,61.3,56.0,4.53,4.48,2.76,765
2.02,Ideal,J,VS2,62.0,56.0,8.06,8.13,5.02,12832
0.71,Ideal,I,VS2,61.6,57.0,5.7,5.62,3.49,2582
0.7,Fair,I,VS2,64.7,60.0,5.55,5.49,3.57,2117
0.31,Very Good,I,VVS2,61.6,59.0,4.31,4.33,2.66,544
0.31,Ideal,E,VVS2,61.4,56.0,4.36,4.4,2.69,766
0.38,Ideal,F,SI1,62.5,53.7,4.64,4.66,2.91,693
0.4,Good,D,VVS2,60.8,62.0,4.74,4.77,2.89,1080
0.27,Ideal,E,VVS2,61.8,57.0,4.16,4.12,2.56,799
1.28,Good,H,SI2,63.8,55.0,6.84,6.79,4.35,4516
0.52,Very Good,G,VS1,61.1,58.0,5.16,5.19,3.16,1689
0.32,Premium,H,SI1,61.8,56.0,4.43,4.4,2.73,591
1.07,Ideal,G,VS2,63.0,55.0,6.55,6.5,4.11,6471
0.9,Good,H,SI2,63.5,58.0,6.09,6.14,3.88,2889
0.55,Ideal,H,VVS2,61.6,55.0,5.3,5.31,3.26,1668
2.04,Premium,I,VS2,62.5,58.0,8.22,8.09,5.1,17028
1.03,Premium,F,VS1,61.7,56.0,6.49,6.47,4.0,6783
0.44,Ideal,E,VVS2,60.9,57.0,4.9,4.95,3.0,1274
0.72,Ideal,H,VVS2,61.7,55.0,5.77,5.8,3.57,3417
0.74,Ideal,H,VVS2,61.2,57.0,5.79,5.85,3.56,2961
0.74,Ideal,I,VS1,61.1,57.0,5.83,5.86,3.57,2947
1.51,Very Good,E,SI2,61.8,57.0,7.34,7.32,4.53,9731
1.15,Ideal,H,SI2,62.2,57.0,6.68,6.63,4.14,4186
1.14,Ideal,I,SI1,62.2,56.0,6.65,6.7,4.15,4953
0.33,Ideal,G,VS1,62.1,56.0,4.4,4.42,2.74,666
1.08,Ideal,E,VVS2,61.0,56.0,6.64,6.67,4.06,11166
1.14,Very Good,H,VS2,59.9,57.0,6.78,6.81,4.07,5053
1.08,Ideal,H,VS2,61.8,56.0,6.59,6.55,4.06,5625
0.72,Premium,E,SI1,61.4,57.0,5.83,5.73,3.55,2476
0.75,Ideal,E,SI1,61.4,55.0,5.8,5.86,3.58,3049
0.4,Premium,E,SI1,61.3,59.0,4.74,4.69,2.89,945
1.16,Premium,F,SI2,62.1,59.0,6.74,6.63,4.15,3787
0.91,Very Good,I,SI1,63.5,57.0,6.12,6.07,3.87,2852
0.32,Good,D,SI2,64.1,54.0,4.37,4.34,2.79,571
0.41,Good,G,SI1,63.4,57.0,4.7,4.73,2.99,671
1.32,Premium,J,VS2,60.4,58.0,7.11,7.14,4.3,5800
1.51,Premium,H,SI2,60.7,59.0,7.42,7.37,4.49,5767
0.31,Premium,E,VS1,61.0,60.0,4.37,4.35,2.66,816
0.3,Ideal,D,VS2,62.3,54.0,4.3,4.33,2.69,710
0.52,Premium,E,VS1,61.7,58.0,5.17,5.11,3.17,1819
0.5,Ideal,I,VS1,61.0,57.0,5.11,5.13,3.12,1266
0.3,Ideal,F,SI1,62.1,55.0,4.31,4.35,2.69,475
0.52,Ideal,G,VVS2,61.7,55.0,5.19,5.22,3.21,1911
0.34,Very Good,F,SI2,61.7,61.0,4.44,4.48,2.75,447
1.08,Ideal,G,VS2,62.1,57.0,6.57,6.54,4.07,5661
0.5,Ideal,E,VS1,62.7,57.0,5.04,5.11,3.18,1745
0.55,Ideal,F,VVS2,61.1,57.0,5.28,5.31,3.24,2629
0.7,Premium,G,VS2,61.3,58.0,5.74,5.68,3.5,2596
0.75,Very Good,J,SI1,62.4,56.0,5.78,5.82,3.62,2083
0.31,Ideal,D,SI2,62.0,56.0,4.33,4.35,2.69,462
0.91,Premium,D,SI2,58.3,60.0,6.4,6.33,3.71,3511
1.02,Ideal,G,VS2,61.9,53.0,6.5,6.48,4.02,6169
0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3758
0.43,Premium,D,VS2,60.7,58.0,4.84,4.88,2.95,1056
1.12,Very Good,I,SI2,61.2,59.0,6.69,6.74,4.11,4533
0.32,Ideal,D,VS2,61.1,56.0,4.39,4.41,2.69,758
0.37,Very Good,E,VS2,63.0,58.0,4.53,4.58,2.87,811
0.55,Ideal,G,VVS1,61.2,56.0,5.27,5.29,3.23,2632
1.19,Ideal,I,VS1,61.6,56.0,6.81,6.83,4.2,7328
0.37,Premium,E,VS2,58.9,61.0,4.68,4.66,2.75,1041
0.9,Very Good,E,VS2,63.3,59.0,6.08,6.12,3.86,4482
0.33,Ideal,F,VS2,61.6,56.0,4.44,4.46,2.74,666
0.32,Ideal,J,VS2,62.2,57.0,4.36,4.38,2.72,393
1.25,Ideal,E,SI2,62.3,57.0,6.83,6.88,4.27,6670
1.5,Good,I,VS1,57.2,62.0,7.64,7.61,4.36,9702
0.7,Very Good,J,VS1,60.9,58.0,5.66,5.73,3.47,1904
1.51,Very Good,G,VS1,60.2,63.0,7.39,7.36,4.44,12430
0.31,Ideal,H,VS2,61.5,54.0,4.35,4.4,2.69,518
0.29,Very Good,G,VVS1,61.4,56.0,4.25,4.28,2.62,607
1.0,Very Good,D,VS2,61.2,61.0,6.35,6.39,3.9,6190
1.2,Premium,H,SI1,60.8,60.0,6.9,6.85,4.18,6282
0.4,Premium,G,VS2,60.4,58.0,4.78,4.75,2.88,966
0.51,Ideal,F,VS2,62.5,53.0,5.12,5.15,3.21,1431
2.08,Ideal,J,SI2,62.3,55.0,8.23,8.17,5.11,12179
0.9,Fair,E,SI1,59.2,60.0,6.17,6.22,3.67,4220
0.7,Ideal,H,SI1,61.2,56.0,5.69,5.74,3.5,2184
1.53,Very Good,G,VS1,61.9,57.0,7.39,7.32,4.55,16219
0.34,Premium,D,SI2,60.8,60.0,4.53,4.49,2.74,650
0.52,Ideal,D,VS1,60.9,56.0,5.17,5.21,3.16,1707
1.81,Premium,H,SI2,62.0,60.0,7.79,7.75,4.82,11460
0.7,Premium,E,SI1,62.7,59.0,5.67,5.63,3.54,2777
0.7,Very Good,E,SI2,62.0,60.0,5.67,5.72,3.53,2257
0.56,Very Good,J,VS2,60.6,57.0,5.35,5.38,3.25,1232
0.7,Very Good,G,I1,63.1,56.0,5.6,5.51,3.51,1115
1.53,Premium,H,VVS2,60.4,60.0,7.46,7.41,4.49,12092
0.71,Ideal,D,SI1,60.2,56.0,5.86,5.83,3.52,2822
0.73,Ideal,G,SI1,62.3,54.0,5.81,5.78,3.61,2321
0.4,Good,D,SI1,63.6,57.0,4.7,4.67,2.98,924
1.56,Ideal,H,SI1,62.4,53.7,7.43,7.48,4.65,10536
1.39,Premium,I,I1,62.6,57.0,7.15,7.1,4.46,3985
0.35,Premium,D,VS2,59.7,58.0,4.57,4.61,2.74,829
2.07,Ideal,H,SI2,62.3,59.0,8.1,8.14,5.06,15036
1.02,Ideal,E,SI2,62.3,56.0,6.42,6.37,3.98,3455
0.53,Ideal,E,VS2,62.0,56.0,5.29,5.2,3.25,1956
1.01,Very Good,E,VS2,62.3,58.0,6.39,6.45,4.0,6310
0.5,Premium,E,VS2,62.6,58.0,5.12,5.07,3.19,1676
1.22,Ideal,I,SI1,62.5,56.0,6.82,6.79,4.25,5124
0.4,Very Good,E,SI2,62.9,58.0,4.7,4.74,2.97,666
0.59,Ideal,G,VS1,64.1,54.0,5.37,5.3,3.42,1803
0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1928
1.03,Premium,H,SI1,59.2,60.0,6.62,6.58,3.91,5105
1.05,Ideal,I,SI1,62.1,54.0,6.54,6.55,4.06,4679
0.39,Premium,J,VVS1,62.5,58.0,4.67,4.61,2.9,921
1.06,Very Good,G,SI2,63.4,61.0,6.46,6.37,4.07,4057
0.78,Ideal,E,VS2,61.4,56.0,5.91,5.95,3.64,3582
0.57,Very Good,D,SI1,59.8,60.0,5.4,5.34,3.21,1906
0.41,Premium,G,VS1,61.5,58.0,4.8,4.76,2.94,961
0.74,Ideal,I,VS1,62.5,56.0,5.76,5.8,3.61,2690
2.03,Premium,J,SI1,62.1,59.0,8.06,8.12,5.02,12862
0.32,Ideal,F,VS2,61.6,57.0,4.4,4.43,2.72,645
1.01,Fair,D,SI1,66.3,55.0,6.22,6.17,4.11,4118
0.5,Fair,F,I1,67.1,57.0,4.92,4.87,3.28,627
0.61,Good,G,VS2,59.6,61.5,5.47,5.52,3.27,1821
0.39,Very Good,D,VS1,61.7,59.0,4.64,4.69,2.88,876
1.5,Very Good,I,SI2,63.2,52.0,7.28,7.24,4.59,6115
0.27,Very Good,E,VVS1,62.6,58.0,4.11,4.16,2.59,620
0.39,Very Good,G,VVS1,62.3,59.0,4.63,4.68,2.9,912
0.71,Ideal,E,SI1,61.3,55.0,5.77,5.72,3.52,2817
0.33,Ideal,D,VS2,60.9,56.0,4.49,4.51,2.74,940
0.4,Very Good,H,VVS1,60.5,59.0,4.73,4.76,2.87,900
1.05,Ideal,I,SI2,61.8,59.0,6.53,6.49,4.02,4723
1.83,Fair,H,I1,68.0,57.0,7.47,7.44,5.07,6887
0.4,Ideal,H,VVS1,62.3,54.0,4.74,4.77,2.96,1017
0.31,Very Good,H,VVS2,61.9,58.0,4.33,4.36,2.69,625
0.32,Premium,G,VS1,59.2,59.0,4.45,4.47,2.64,645
2.0,Good,I,VS1,58.8,65.0,8.03,8.1,4.74,15708
0.52,Very Good,D,VS2,63.4,56.0,5.16,5.09,3.25,1828
0.33,Very Good,F,SI1,60.9,54.0,4.47,4.52,2.73,588
0.75,Very Good,D,SI2,63.3,58.0,5.76,5.8,3.66,2551
0.32,Premium,E,VVS2,61.5,58.0,4.36,4.42,2.7,842
0.5,Ideal,G,SI1,61.7,57.0,5.06,5.08,3.13,1237
2.02,Premium,I,SI1,62.5,59.0,8.05,8.01,5.02,16191
0.33,Ideal,F,VS1,61.2,56.0,4.49,4.46,2.74,928
0.38,Ideal,E,VS1,62.2,55.0,4.67,4.63,2.89,1112
2.01,Ideal,H,SI2,60.1,57.0,8.24,8.2,4.94,15562
1.5,Premium,H,SI1,62.4,58.0,7.33,7.28,4.56,9697
0.57,Ideal,E,VS2,61.6,56.0,5.33,5.38,3.3,1851
1.08,Ideal,I,SI2,62.3,57.0,6.56,6.61,4.1,4130
0.32,Ideal,G,VS2,62.1,55.0,4.36,4.39,2.71,673
0.38,Ideal,F,VVS2,61.7,55.4,4.66,4.68,2.88,1010
1.0,Ideal,J,VS2,62.4,54.0,6.4,6.46,4.01,4539
0.5,Very Good,G,VVS2,62.8,57.0,5.05,5.07,3.18,1764
0.7,Ideal,F,SI1,62.2,57.0,5.67,5.74,3.55,2230
1.5,Very Good,G,I1,60.3,61.0,7.34,7.39,4.44,5808
1.21,Premium,H,VS2,59.9,59.0,6.94,6.92,4.15,7562
0.68,Premium,F,VVS2,61.7,57.0,5.67,5.64,3.49,2854
0.3,Very Good,G,VS1,62.9,55.0,4.25,4.27,2.68,620
1.12,Premium,G,IF,61.2,58.0,6.67,6.7,4.09,9440
0.31,Ideal,D,VVS2,61.7,54.0,4.38,4.43,2.72,815
2.27,Good,H,SI2,63.6,58.0,8.37,8.29,5.3,14249
0.57,Good,G,SI1,63.3,55.0,5.29,5.32,3.36,1364
0.53,Ideal,E,VS2,62.5,57.0,5.16,5.18,3.23,1607
0.55,Very Good,F,VS2,61.6,56.1,5.29,5.31,3.27,1777
0.51,Ideal,H,IF,60.3,58.0,5.15,5.17,3.11,1899
1.57,Very Good,I,VS2,60.2,58.0,7.51,7.57,4.54,9443
0.32,Premium,D,SI1,62.2,60.0,4.34,4.37,2.71,550
1.01,Premium,G,VVS2,61.9,59.0,6.45,6.41,3.98,7964
0.9,Ideal,G,VS1,61.6,56.3,6.22,6.3,3.86,4531
0.54,Premium,D,VS2,61.6,56.0,5.24,5.18,3.21,1627
0.46,Ideal,F,SI1,62.5,56.0,4.92,4.94,3.08,953
1.0,Good,G,VS1,63.6,59.0,6.34,6.3,4.02,6465
0.43,Very Good,G,SI1,62.3,59.0,4.79,4.81,2.99,754
0.75,Ideal,I,SI1,61.8,55.0,5.83,5.85,3.61,2871
0.71,Very Good,G,VS2,60.9,56.0,5.75,5.78,3.51,2895
0.41,Very Good,H,VVS1,62.0,56.0,4.77,4.81,2.97,1166
1.49,Fair,H,I1,66.9,61.0,6.93,6.89,4.62,6425
2.02,Ideal,H,SI2,62.1,57.0,8.13,8.09,5.04,10826
0.58,Ideal,E,VS2,61.9,57.0,5.33,5.37,3.31,1884
0.5,Ideal,H,SI1,61.7,58.0,5.07,5.11,3.14,1035
0.32,Ideal,D,SI2,59.8,57.0,4.46,4.4,2.65,612
0.52,Ideal,G,VS1,61.1,55.0,5.15,5.19,3.16,1689
0.87,Very Good,D,SI1,60.2,60.0,6.12,6.17,3.7,3664
0.27,Ideal,I,VS1,61.9,54.0,4.15,4.18,2.58,432
1.13,Ideal,D,VVS2,61.7,57.0,6.65,6.68,4.11,12150
0.37,Very Good,E,VVS2,59.7,61.0,4.67,4.71,2.8,844
0.34,Ideal,E,VS1,62.4,54.0,4.49,4.45,2.79,1060
0.56,Ideal,D,SI1,61.9,56.0,5.24,5.29,3.26,1745
0.37,Ideal,E,VVS2,62.2,56.0,4.63,4.6,2.87,1082
0.53,Ideal,G,VVS2,62.3,54.0,5.18,5.2,3.24,1797
1.51,Good,H,VS2,64.0,59.0,7.19,7.25,4.62,9821
0.31,Ideal,H,SI1,62.9,56.0,4.31,4.27,2.7,558
0.4,Premium,I,SI2,62.9,59.0,4.68,4.63,2.93,585
0.52,Ideal,I,SI2,61.9,55.0,5.17,5.23,3.22,1125
0.4,Premium,E,SI2,60.5,59.0,4.78,4.74,2.88,821
0.41,Ideal,G,VS2,60.9,57.0,4.79,4.84,2.93,827
0.58,Ideal,F,SI1,62.3,54.0,5.36,5.39,3.35,1401
1.36,Very Good,G,VVS2,60.8,60.0,7.12,7.16,4.34,11774
0.51,Premium,E,VS2,61.0,60.0,5.12,5.17,3.14,1656
0.9,Fair,G,SI2,65.4,57.0,6.01,5.97,3.98,2376
0.52,Ideal,E,VS2,62.0,55.0,5.14,5.19,3.2,1689
0.34,Ideal,I,IF,62.1,54.0,4.49,4.53,2.8,695
1.53,Very Good,F,SI1,58.5,59.0,7.55,7.62,4.44,11713
0.79,Ideal,I,VS1,61.7,59.0,5.93,5.96,3.67,2888
1.01,Premium,F,SI1,62.2,58.0,6.35,6.28,3.93,4775
1.06,Ideal,G,SI1,60.5,57.0,6.64,6.59,4.0,5393
0.37,Ideal,D,VVS1,62.0,56.0,4.59,4.6,2.85,1233
0.37,Premium,F,VS2,59.7,59.0,4.68,4.64,2.78,957
1.01,Premium,G,SI2,60.5,58.0,6.55,6.47,3.94,4327
0.5,Good,F,VS2,63.6,57.0,5.03,5.07,3.21,1436
0.57,Very Good,E,VS1,62.9,57.0,5.27,5.29,3.32,1883
0.71,Ideal,E,VS1,62.3,56.0,5.69,5.74,3.56,3346
1.2,Very Good,H,SI1,61.4,63.0,6.76,6.72,4.14,4603
0.55,Ideal,D,VS2,61.4,57.0,5.27,5.31,3.25,1928
1.53,Premium,F,VS1,60.3,58.0,7.51,7.48,4.52,15217
0.24,Very Good,F,VVS2,58.0,60.0,4.09,4.12,2.38,533
1.56,Premium,J,VS1,61.1,59.0,7.52,7.49,4.58,8476
0.31,Ideal,D,SI1,61.8,57.0,4.32,4.36,2.68,571
0.59,Ideal,G,SI1,63.4,56.0,5.36,5.29,3.38,1376
0.47,Ideal,H,VS2,61.7,57.0,4.99,5.03,3.09,1136
1.01,Premium,H,VS2,61.6,59.0,6.39,6.41,3.94,5166
0.61,Ideal,E,VS2,61.4,56.0,5.47,5.51,3.37,2434
0.4,Premium,E,VS1,60.1,58.0,4.76,4.72,2.85,1125
0.36,Very Good,D,VVS1,59.0,59.0,4.66,4.69,2.76,1119
0.73,Premium,F,SI1,60.6,59.0,5.81,5.77,3.51,2190
1.55,Good,J,VS1,62.3,56.0,7.44,7.52,4.66,8076
0.57,Ideal,G,VS1,60.8,56.8,5.36,5.39,3.26,1899
1.51,Very Good,I,SI1,62.6,60.0,7.27,7.34,4.57,8637
0.31,Premium,H,VS2,59.7,61.0,4.42,4.39,2.63,628
0.73,Premium,G,SI1,60.8,58.0,5.82,5.85,3.55,2163
0.31,Premium,E,VS1,61.9,56.0,4.37,4.32,2.69,816
1.17,Ideal,G,SI2,62.6,55.0,6.74,6.78,4.23,5743
0.91,Very Good,E,VS2,62.8,59.0,6.15,6.17,3.87,4823
0.9,Ideal,H,VS2,60.9,54.0,6.19,6.22,3.78,4871
0.88,Premium,G,VS2,61.1,58.0,6.19,6.15,3.77,3400
1.27,Very Good,H,VS1,60.7,54.0,7.01,7.05,4.27,8235
0.82,Very Good,I,SI1,62.3,58.0,5.94,6.0,3.72,2602
