,Formula,Crystal structure,Hardness (Mohs),allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average
34,(Cd0.02Zn0.98)4O(BO2)6,orthorhombic,7.0,255.44,42.890676,11.10608695652174,4.521739130434782,23.395917826086954,11.494263826086955,2.763617391304348,1.7101565217391304,0.7902608695652175,0.4829381217391305,1.864812
35,Li2GeO3,orthorhombic,4.0,62.0,6.394996,10.333333333333334,4.0,22.417181666666664,9.92285,2.3816666666666664,1.7183333333333335,0.9533333333333333,0.4675316666666667,1.0658326666666669
36,SrO(B2O3)2,orthorhombic,9.0,114.0,12.029324,9.5,4.666666666666667,20.236434166666665,11.184466666666665,2.765833333333333,1.7341666666666669,0.8116666666666665,0.4819691666666667,1.0024436666666667
37,AlPO4,monoclinic,6.0,60.0,4.9043280000000005,10.0,5.333333333333333,20.325236749666672,11.82415,2.9266666666666663,1.62,0.8150000000000001,0.4943616666666666,0.8173880000000001
38,LiNb3O8,monoclinic,5.5,190.0,26.254656,15.833333333333336,4.333333333333333,34.47077916666667,11.217766666666668,2.775,1.7100000000000002,0.925,0.4796891666666667,2.187888
39,InBO3,rhomohedral,6.0,78.0,9.683996,15.6,4.8,34.72421799999999,10.987739999999999,2.8280000000000003,1.682,0.836,0.477854,1.9367991999999998
40,Nd0.02Ca8.53K1.09La0.95(VO4)7,trigonal,4.5,631.66,62.952676,13.855231410397018,4.432770344373767,29.03906259048037,10.765863434963805,2.5931476200921257,1.8010111866637424,1.0287957885501209,0.4901430862031148,1.380843957008116
41,Nd0.02YCa4O(BO3)3,monoclinic,6.5,215.2,17.930320000000002,11.942286348501662,4.386237513873473,24.667645948945623,10.646814650388462,2.539556048834628,1.8073140954495008,0.9809988901220864,0.4900476914539401,0.9950233074361821
42,Nd0.02YAl3(BO3)4,monoclinic,8.0,195.2,22.199984,9.750249750249749,4.747252747252747,20.37700576923077,11.033686313686315,2.772867132867133,1.6887012987012988,0.8270529470529471,0.4866363336663336,1.1088903096903098
43,Mg2SiO4,orthorhombic,7.0,70.0,5.815328000000001,10.0,4.571428571428571,20.09830285714286,11.130928571428573,2.611428571428572,1.662857142857143,0.9285714285714286,0.4980028571428571,0.830761142857143
44,PbMoO4,tetragonal,3.0,156.0,21.575328,26.0,4.833333333333333,61.191019999999995,11.496916666666666,2.953333333333333,1.711666666666667,0.9116666666666668,0.4722666666666666,3.5958879999999995
45,KPb2Cl5,monoclinic,2.5,268.0,23.576975,33.5,5.5,78.8410375,10.5015125,2.5275,1.9425,1.2375,0.459375,2.947121875
46,Pb2MoO5,monoclinic,3.0,246.0,32.92666,30.75,4.875,73.79314375,11.2520375,2.87,1.7262499999999998,0.945,0.46617125,4.1158325
47,Mn2SiO4,orthorhombic,6.5,96.0,17.215328,13.714285714285715,4.571428571428571,28.850886857142854,11.0703,2.68,1.7542857142857142,0.897142857142857,0.4869542857142858,2.4593325714285714
48,CaY2.5Er1.5Ho0.1(SiO4)3O,hexagonal,6.6,372.2,34.208316,17.639810426540283,4.748815165876777,38.95561720379146,11.038414691943128,2.675497630331753,1.7931279620853082,0.9817061611374408,0.4853958767772512,1.6212472037914691
49,PbGeO3,monoclinic,4.0,138.0,16.676996,27.6,5.2,65.56541800000001,11.23408,2.826,1.7380000000000002,0.914,0.4673040000000001,3.3353992
50,Pb2FeTaO6,cubic,6.0,311.0,47.231992,31.1,4.8,74.71870600000003,11.1994,2.7569999999999997,1.7420000000000002,0.9559999999999998,0.46606099999999995,4.7231992
51,Sb5O7I,monoclinic,4.0,364.0,38.394324,28.0,5.6923076923076925,65.20751384615384,11.447692307692305,2.845384615384615,1.7630769230769232,0.9876923076923076,0.4624792307692308,2.9534095384615378
