,0_pre-RR,0_post-RR,0_pPeak,0_tPeak,0_rPeak,0_sPeak,0_qPeak,0_qrs_interval,0_pq_interval,0_qt_interval,0_qrs_morph4,1_pPeak,1_tPeak,1_rPeak,1_sPeak,1_qPeak,1_qrs_interval,1_pq_interval,1_qt_interval,1_st_interval
3693,209,465.0,0.005773237842419,-0.5508526601474427,1.985492552341752,-2.0509426786050886,0.0027405659420317,53,4,101,0.2366869870578214,0.1088711906505541,1.0685163318486668,-1.0318279794218157,-1.5335613846584089,-1.0318279794218157,6,10,47,31
6385,252,520.0,0.0332220771851478,-0.3027359018020141,-0.5528197652529858,-0.8951850916414719,-0.5528197652529858,7,27,47,-0.8656370048872751,0.1362332970755934,-0.0247357957302566,-0.0567213591499428,-0.0567213591499428,-0.2172916983503473,10,66,78,2
4029,262,265.0,-0.0982651090091878,-0.5695226367970022,1.3341302229570753,-0.7116884021997634,-0.1864341449498245,30,8,44,-0.0193807190306837,-0.0090098972279281,-0.0068618677446407,0.3301539573555295,-0.1140716513481181,-0.0184625050134022,21,4,31,6
6662,352,346.0,0.1365792338634645,0.5379991468272044,-0.3924505347959723,-0.7166342517765277,-0.3924505347959723,5,17,44,-0.6889677916196201,0.0650847070703439,0.4024167603518165,-0.2805069491338204,-0.2985684968660547,-0.2805069491338204,2,27,45,16
21671,111,337.0,1.0960643549440463,0.3453983073152949,-1.7833619503827904,-2.1963305657237817,-1.7833619503827904,5,75,104,-2.194573684200824,0.1471304593056558,1.4518662818925565,-0.1942058131480563,-0.1942058131480563,-0.4025700916124248,4,12,30,14
3995,241,234.0,-0.0582550952618839,-0.4902785734136031,1.3957382076607534,-0.6825212120178482,-0.150955628843701,29,10,45,0.1603616623643884,0.0270553532643927,0.0222945220538672,0.3104914108923178,-0.1248643747285747,0.0125710365551768,23,7,36,6
13377,428,403.0,-0.0646269337926576,1.3536727404219535,1.295541260913034,1.295541260913034,-0.0678926602200737,27,4,32,0.3273081186075959,-0.0034041814297714,0.6749296016025177,0.6744443306056963,0.6744443306056963,-0.0318918808339074,16,6,23,1
1314,238,237.0,-0.044636841156824,0.3082875996106801,0.7875762016479427,-0.9646350302376616,-0.0470927682602253,40,3,133,-0.3922664215382665,0.0711873033641655,0.490994603415932,-0.551369391282395,-0.8614637067608873,-0.551369391282395,5,10,52,37
11214,230,224.0,-0.0617635260840758,1.5295790602514463,1.4958936276744568,1.4958936276744568,-0.064723004701023,28,3,32,0.4841480310106329,-0.1005646316736983,0.414725327343697,0.6193024616289275,-0.8146832001107313,-0.1234774466967534,51,6,70,13
764,406,385.0,0.2740379393196626,-0.5559805336039381,2.006016800683624,-1.1107333744930123,-0.161397644545073,22,32,62,0.2154415465473217,0.0157144750017617,0.1581144465826259,-0.0471930084844086,-0.0518587669326121,-0.0471930084844086,1,15,24,8
10946,171,334.0,0.3562285213151887,0.1777117885139048,0.7560123067782594,-0.7733453828527447,0.099240129193115,29,38,88,-0.4354425532208067,-0.1587874585130051,0.6199939698333577,-0.3722372358619187,-0.95446216888372,-0.3722372358619187,8,7,55,40
18603,204,311.0,0.0750416911982224,0.6170017014099753,0.6141281087318221,0.6141281087318221,0.027938432727776,8,6,15,0.4556669610245367,0.0687643764872992,0.4607893649425342,-0.6197137144498626,-0.8979995711745756,-0.6197137144498626,3,7,22,12
4342,354,337.0,0.2015647119066909,0.3461475336427012,1.5097485678436289,-1.1105148585082456,0.0673171419606907,27,5,151,-0.2143666395294099,0.3672791635496071,-0.1099108038538987,0.668351139330662,-0.3769902412794222,-0.4974712358215903,24,8,49,17
758,198,463.0,0.4417201104453204,0.7229787907747098,1.550754329478773,-1.5157618583056154,-0.4486070628691289,69,41,199,1.5293466058881044,0.000743473285468,0.3981306565883392,0.0957918934708823,-0.7001729284545377,-0.0021570118110425,20,6,38,12
8757,138,138.0,-0.026589741118791,0.9765561922613424,0.9137344485040034,0.9137344485040034,-0.0374988854637804,10,4,15,0.6278174706189419,-0.0487158849925276,-0.0632363116199813,0.0657590482518038,-0.2817247475044257,-0.0585835249801644,37,5,50,8
15815,192,196.0,0.0921603075747589,-0.5140109641474839,1.8386184206538467,-1.380916345783593,-0.3058602845179965,47,14,69,1.655386354941227,-0.0976888945338911,0.6477165718692318,-1.4093812091928934,-1.8745220066338544,-1.4093812091928934,4,8,28,16
12079,249,256.0,0.1673509292065744,0.2224126025418097,1.182957147782766,-0.5881093210327263,-0.1484154748148732,56,15,149,-0.076724098906786,-0.0155648773925556,0.1506604188243432,-0.1941638759313473,-0.2194259428943694,-0.1941638759313473,2,16,32,14
17286,322,281.0,-0.1006134116728956,-0.6355358075084631,1.6100395052011995,-1.014904766289303,-0.1199901751128601,28,5,41,0.1614545441118142,-0.061781652650617,0.7082132490975434,0.6399471507768627,0.6399471507768627,-0.063807700322117,17,3,22,2
16824,148,209.0,0.2532652242274578,0.8432680363756094,1.100123183874567,-1.6175836244385684,0.2524626900291458,39,2,84,-0.6531333405620222,0.6780055979738082,0.3048967342394674,0.2711930613029954,0.2711930613029954,-0.4460066418908279,29,87,120,4
17143,284,285.0,0.06276882199228,1.6095574070913394,1.6073545672128549,1.6073545672128549,-0.0921360387695178,32,34,67,0.7900520375680814,0.1433683827662293,0.7057379378665766,-0.5112355860639924,-0.6459292273939298,-0.5112355860639924,5,12,50,33
13762,261,289.0,0.0102250203276007,-0.3114782440108584,0.878826413611326,-0.6482873033981549,-0.0043164971214424,31,8,47,0.1669682296453244,-0.0378829896977555,-0.0338470878155146,-0.0367609933529694,-0.0367609933529694,-0.0415701817260279,7,7,19,5
38,346,338.0,-0.0732347498175874,-0.3522459639652002,1.3141918078310575,-0.5423373760530417,-0.0993813194221757,22,5,35,0.12834678498935,-0.0085907711717718,0.0393948790468583,0.0118601114493948,0.0020304900328049,-0.0109899735239209,13,4,25,8
3613,187,494.0,0.2896183201934384,1.201153468639801,2.1833595404029293,-2.166528462075573,-0.2503767804392712,78,38,221,0.8226073784839174,0.0963216191941722,1.087531507813459,-0.9274046650443004,-1.5679760463717465,-0.9274046650443004,6,9,47,32
1455,267,260.0,-0.0605040448567218,0.4390859331489042,1.233568430029822,-1.330499897987248,-0.0735279862126912,40,5,147,-0.4994298725455777,0.0923138567004981,0.5975207005156189,-0.7419254041185283,-0.9796026980397357,-0.7419254041185283,4,13,54,37
8517,214,222.0,-0.0244036461441924,0.8756866189980188,0.8178294343146053,0.8178294343146053,-0.0348762546117452,10,4,15,0.5602198392031045,0.0467530168841783,0.0662426192017154,0.0876565205313115,-0.2400845065964666,0.0350801067025785,20,5,37,12
3661,189,484.0,-0.0271148338052776,-0.3550136529948411,2.0325307223824,-2.065520651775222,-0.028039523053221,51,2,115,0.2620311577298309,0.1080538155291392,1.0740397452469403,-0.9497983592892192,-1.5596154275385206,-0.9497983592892192,6,10,47,31
15131,165,293.0,-0.0614316160025082,0.4687900322431684,-0.3956932857007215,-0.6378772086819265,-0.3956932857007215,6,13,49,-0.6060504224170082,0.274401747649302,0.4235193925234333,0.4089758727418186,0.4089758727418186,0.1980921370737239,12,17,31,2
5274,134,132.0,-0.4705620911255046,0.8655424629362359,-1.3255864711701346,-1.3713286942356984,-1.3255864711701346,2,18,85,-1.3559030661269462,0.0118928144777089,0.2450077311907892,-0.783277395896874,-0.9340089845274006,-0.783277395896874,4,10,42,28
18966,212,428.0,-0.0289036668718685,0.4984206567656544,1.4752397237956123,-1.225394282120296,-0.0924333051678688,47,8,161,-0.1844471995235798,0.022364432015478,0.9717304875488368,0.9684522878572428,0.9684522878572428,-0.9697713939050004,16,30,47,1
10572,246,239.0,0.1463402852874157,-0.5474543014635106,1.337612910917523,-1.1054603800705514,-0.0792564258603325,44,22,75,1.0572514821617802,-0.0198518415900658,0.3668547989890325,-0.0865546120181953,-0.7949994166338862,-0.0865546120181953,11,9,37,17
7203,182,114.0,0.2105943656864408,1.0616112610002726,1.000708153276204,1.000708153276204,-0.1806879657511045,77,30,110,0.2894492867907317,0.0401126987185076,0.4175801531327625,-0.7896653237577378,-0.8850804136100799,-0.7896653237577378,4,18,43,21
2894,264,257.0,0.1864561334451281,1.192719961623208,1.1406262264658522,1.1406262264658522,-0.1042044842539102,26,21,48,0.2822884227470619,0.048962416159064,0.1810965027527123,-0.2230688771629577,-0.4085625194675846,-0.2230688771629577,5,7,27,15
10375,210,189.0,-0.280837325388341,0.5601853680995991,1.1029481573877546,-0.7185901491566788,-0.2824814175089407,76,2,168,1.0567006255750602,-0.0181980806028835,0.8643728376614257,-0.3121435660957257,-0.3386061531171671,-0.3121435660957257,2,21,38,15
5046,198,140.0,0.3670212782111507,0.8886347722525738,0.8709000517688466,0.8709000517688466,-0.4963605202479553,60,36,97,-0.012086131563682,0.0463089000359712,0.7144525959491269,-0.678375055682041,-0.8079431905629942,-0.678375055682041,2,9,22,11
15130,155,165.0,0.1430474638789337,0.0820418549470774,0.3960623678071363,-0.4731820198188978,0.1272925171724899,25,7,56,-0.2235883315407442,-0.0055964751888204,0.4395447849938474,0.2412917213348388,0.2412917213348388,-0.020432727248283,30,7,45,8
11740,311,295.0,-0.0285360896388811,-0.2847871377515762,1.8499565674949288,-0.8158759047696423,-0.1117916233293036,22,7,37,0.5218960200421329,0.0532034701451968,1.1118836678460893,1.1040742267004329,1.1040742267004329,0.0326953507071481,12,6,19,1
10224,239,306.0,0.0095511341317966,-0.559698522799924,1.1531436204639756,-0.9027780732229724,0.0040531592426382,38,4,52,0.4535477189675166,-0.0344988299513042,0.5125210550491126,-0.256595500429319,-0.9193251545365976,-0.256595500429319,10,13,45,22
9012,224,231.0,-0.0225445103747128,0.9391296703498117,0.885758381906597,0.885758381906597,-0.0312648281628801,10,4,15,0.6112288940592346,-0.0148399359001396,0.0261915450353522,0.1088635909345509,-0.1870090240182022,-0.0247243556147463,29,6,50,15
8551,222,212.0,-0.0401171175098456,0.9675984904231264,0.9163378279669676,0.9163378279669676,-0.0749067939658726,11,7,19,0.4665953825218978,0.0156246917238218,0.0792463742739066,0.1217550059530584,-0.2691841851240802,0.0107411475884374,25,3,41,13
21581,211,213.0,-0.1388306835716354,0.274626424912088,1.276240989486614,-0.8564837364186909,-0.1398372351898763,31,2,121,0.2725673467047637,0.0572459463218534,0.6977851917910965,-0.2147150812849784,-1.8275302941437044,-0.2147150812849784,9,4,32,19
1053,391,373.0,-0.1240397833766449,-0.2298217603748467,0.5453171763702701,-0.8183363641507636,-0.1242095520838479,56,1,70,0.441880496999678,0.0167334340240482,0.6773827986288278,-0.8923388811265685,-0.8923388811265685,-0.8923388811265685,0,15,46,31
9806,159,225.0,-0.0012402803115796,0.2766320619262807,1.7203158464071533,-1.5480652188582442,-0.014604555970068,41,5,113,0.1838123618488245,0.027657617196828,0.2908044657313042,0.1030145321746482,0.0211599744341174,-0.0229252116522597,26,16,57,15
19375,186,438.0,-0.0545244702012144,-0.0017278095337787,1.696690033392063,-1.243778896063648,-0.1855508472922153,41,8,108,0.1241245442537802,-0.0177635825712681,0.2649817928405346,1.4380580637770282,0.2584973044123262,-1.291013517980905,27,22,51,2
8665,179,283.0,-0.0888991436794761,0.8899743745673472,0.8377433595947869,0.8377433595947869,-0.0983384598218869,10,8,19,0.5769404141945071,0.0324876085881681,0.050235511040529,0.03900558315192,-0.2502535640449541,0.0318169986789865,20,2,37,15
17581,217,275.0,1.2029231920106052,1.0758003574135453,1.1118022235583689,-1.6119183251711169,1.1118022235583689,25,3,136,-0.9893177684867024,0.9484146950886836,-0.0875818793652311,-0.4096299291694322,-0.7634384981226097,-0.4096299291694322,4,11,23,8
16558,205,202.0,-0.1349191753625157,-0.914882422089646,2.5335572437928184,-1.3868260864935495,-0.1562704835596322,31,5,45,0.7742256218796947,0.2675796954643973,1.339097994870777,-2.7409927331831807,-2.7409927331831807,-2.7409927331831807,0,13,31,18
22029,146,272.0,0.8405467051970964,1.2598792081361845,-1.0725010423112895,-1.7243605462028515,-1.0725010423112895,5,9,46,-1.7068167929055214,-0.294286425172907,0.7685027745177553,-0.3301421991076495,-0.3301421991076495,-0.382637692354076,4,12,33,17
9270,188,190.0,0.0048013955166134,-0.0064984571645029,0.9485905554074509,-0.7598536493922674,0.0046424241281668,31,2,43,0.4884373662888253,-0.0026239321986687,0.1589940432090388,-0.0505281395873324,-0.4041028789925889,-0.0505281395873324,9,4,26,13
6301,258,281.0,0.3454979943164912,0.9097850305705382,-0.4828413011256182,-0.7596841577762015,-0.4828413011256182,4,8,48,-0.738546118269344,-0.0276532915911383,0.2778276497673138,0.2310734781237021,0.2310734781237021,-0.1081111057441309,12,18,34,4
20326,265,264.0,0.0511700609998119,0.5721013372038422,0.5579896922556293,0.5579896922556293,0.0308354020483691,21,10,32,0.2301014409173552,-0.006782706833971,0.3108662120907814,-0.0217488523603279,-0.3617445170845668,-0.0217488523603279,8,2,22,12
11827,273,278.0,-0.111722490307379,-0.4128810429199102,1.7910939891295712,-0.7290170025559347,-0.1473306303191551,24,5,36,0.1851968476790426,0.0134620137421187,1.7151064570806176,1.623683046525073,1.623683046525073,-0.0183863822862128,11,11,23,1
19683,263,260.0,0.0594963472413124,0.5868990873295337,0.5688971546528949,0.5688971546528949,0.0322974536646325,19,7,27,0.3133579665290913,0.0106051522230096,0.3925336256585068,0.0233487854373701,-0.4012466919918014,-0.0082267243006796,17,5,34,12
2807,354,271.0,0.0021275684459638,1.824756022797147,1.7811811939429705,1.7811811939429705,-0.2106647924521468,24,22,47,0.6660146244458832,0.0479663434028389,0.1907733261758855,-0.2608600469019895,-0.5490660074047441,-0.2608600469019895,5,8,35,22
16818,291,291.0,0.0651111821150192,-0.299841565502667,1.0234670526338512,-0.3333428150580904,-0.0912807813520837,48,36,88,0.8241473129015113,0.1487782892909317,0.4976098807806055,-0.3802961781172231,-0.4252349777769387,-0.3802961781172231,3,13,52,36
17253,175,394.0,0.3500416548355098,0.2803659204641172,1.2018242417629834,-0.7348852094531138,0.0616060189568777,33,45,162,-0.0558153527902473,0.7426342341061511,0.4125266713056342,0.4909999724599683,0.3784281677078439,-0.591072282189565,64,80,148,4
10062,341,328.0,0.1540036275100187,1.5297854326952938,1.49101250367692,1.49101250367692,-0.0232684831124792,17,21,39,0.672917664819624,0.0224972930721166,0.186927469207649,0.11265401915311,-0.5352894703894338,-0.008038718424179,21,7,38,10
17596,288,334.0,-0.0765264454236846,-0.6561256972022023,1.6540828902252054,-1.0981264394366037,-0.1541018928491246,26,14,49,0.2429450586795991,-0.0964171310017363,0.9008789683480612,0.8694308620723873,0.8694308620723873,-0.146876958968194,34,9,44,1
9427,188,183.0,0.0474381335030843,0.9053300099173416,0.895384743172909,0.895384743172909,0.0180450580736924,11,4,16,0.6139323614080772,-0.0076118599331799,0.0821876679172585,-0.0360874211762766,-0.3041835018382848,-0.0360874211762766,10,3,27,14
304,189,467.0,0.3760379400006037,0.4527140759326082,0.5652081113043196,-1.3293922852196385,-0.2992635616101648,65,40,144,0.556475636654692,-0.0044257126734143,0.5671748012960866,0.0710937121803657,-0.9561387535161866,-0.0051089957517629,20,2,36,14
21547,190,235.0,1.0375848014703486,0.2623479137533587,-0.6974189709977078,-2.0341497650978777,-0.6974189709977078,6,9,93,-1.876496247525168,0.044550574574558,0.703377901268462,-0.9512508368815368,-1.0117393383240092,-0.9512508368815368,5,28,52,19
11183,119,335.0,0.2100208153746223,-0.3369865279395864,1.2695397565812758,-1.414061095263016,0.0046444784867287,53,26,88,1.239568633686296,0.246750937696536,-0.1992810833409147,0.8700730289809977,-0.7265219445909408,0.0797191958281442,50,27,89,12
13209,348,352.0,0.0272950761422429,-0.0035736517564831,0.6595861590439315,-0.5065069081025735,-0.0720023457220769,45,17,134,0.1131481676335648,0.0594360828915043,0.3363743988378194,-0.7047204326558428,-0.7047204326558428,-0.763059736626549,2,14,28,12
9068,221,235.0,-0.0218782356813785,1.1156849204715775,1.0525200994710466,1.0525200994710466,-0.0370971790480734,11,5,17,0.5804034614172712,0.0726108570048489,0.0749375977927107,0.0682721940902053,-0.2666276952866261,0.0029886200172718,18,7,40,15
10180,274,274.0,0.112885324811651,-0.5242383151252437,1.4575552219042218,-1.1015271840587937,-0.1248418342636487,46,21,75,1.353758621037761,0.0213939800176086,0.422272008106952,-0.041492297174212,-0.8544799108345009,-0.041492297174212,11,11,41,19
21537,148,274.0,0.9392684485798124,1.1048482083944249,-1.0107713289332731,-1.8960545395947548,-1.0107713289332731,5,8,44,-1.8490490019380408,-0.2069314749970332,0.7573322051566894,-0.364061799024596,-0.364061799024596,-0.3770023865360676,2,14,32,16
14601,429,407.0,0.0228089882412783,-0.4111517419961217,1.0095162385686625,-0.5628300978240194,-0.0657899312296111,48,18,74,0.8636228992368007,0.0304354438546737,0.3761354982443852,-0.7876603502827111,-0.8414070405684044,-0.7876603502827111,2,12,26,12
21007,265,259.0,0.0341012073708199,0.5430468520211471,0.5315347913277529,0.5315347913277529,0.0314045629811396,20,4,25,0.2733693202115027,0.0247716623447464,0.3616942284363559,-0.0044665882400846,-0.3372170470851445,-0.0044665882400846,9,6,26,11
19443,359,249.0,-0.0972630119486472,1.3789333201108327,1.3653473859271643,1.3653473859271643,-0.179326973070037,9,6,16,1.0142312379302998,0.0849926201319451,0.1295169442021324,-0.0534607061725366,-0.2593789978807298,-0.0534607061725366,8,5,29,16
252,358,372.0,-0.0346667698910567,-0.3828029797654014,1.2535709122111969,-0.4244460691443248,-0.0617417753271094,24,5,36,-0.0680628038174525,-0.0009864154576924,0.045815764616699,-0.0017221316691914,-0.0352775983816468,-0.0017221316691914,7,2,18,9
21244,75,286.0,0.8427078974892311,1.220735814541422,-1.071454313591948,-1.7211205208168772,-1.071454313591948,5,9,48,-1.6961170702956712,-0.2590125731719251,0.7923679699656871,-0.4882608864623529,-0.4882608864623529,-0.4882608864623529,0,16,35,19
5082,124,387.0,0.3267056176690532,-0.2958824056854544,0.3192252216726791,-0.3070523173812746,0.3192252216726791,28,1,35,-0.2131351048924319,-0.0954081346161711,0.1202532984685001,-0.1051374911129456,-0.1051374911129456,-0.1051374911129456,0,3,12,9
15692,230,220.0,0.1107879417871394,1.117789923205197,1.108162654692484,1.108162654692484,-0.1457363755776151,31,17,49,0.1526806657910111,-0.0169104644802484,0.6263221896516057,-0.0539101440256561,-0.0539101440256561,-0.0539101440256561,0,6,18,12
16296,201,212.0,0.0566363933366524,-0.5076037677007316,1.8332564692158608,-1.2838872422918215,-0.2879557330068959,47,12,69,1.6771437288040942,-0.0382429972450193,0.7778260224822665,-1.3962517940573105,-1.9595502244768808,-1.3962517940573105,4,8,29,17
511,169,330.0,0.2643988113832393,-0.6009387110741133,1.702403901035231,-1.509028543454997,-0.1910801723973272,56,38,120,1.6372115175536437,0.0095247542383042,0.3305929493478101,0.2547259523224634,-0.0560801158291737,0.0003483314457294,25,7,40,8
10658,247,167.0,-0.0998708408102077,0.6312853935490487,1.4012196173477045,-0.8988216181722722,-0.1002555289938542,67,2,164,1.136198397264507,0.0273452770367288,0.8970493997825614,-0.3427667980242913,-0.3427667980242913,-0.3438006600932674,1,17,32,14
16144,196,196.0,-0.1882185036247689,0.6749093544158694,2.344284862250225,-1.3627584022563175,-0.2087707644683164,30,4,107,0.1314078392977912,0.1547378817852305,1.2915050630545055,-2.7756396927960854,-2.7756396927960854,-2.7756396927960854,0,13,32,19
10930,179,267.0,0.1219112651222115,0.1226644329924458,0.7592521630169095,-0.9514417020953208,0.1025492852720039,30,5,58,-0.4076987184438283,-0.0987669209381035,0.5897342685006641,-0.4486737925042889,-0.8141365446175092,-0.4486737925042889,6,14,63,43
18124,324,406.0,-0.057710064714374,-0.4835116422537983,1.2183164567546825,-0.7217362108656948,-0.0646761642430766,27,5,40,0.3972908147576522,0.0855779689669993,0.2837336882891725,-0.0520582079396056,-0.120653510422582,-0.0520582079396056,4,10,25,11
3333,199,483.0,-0.0464028470084175,-0.2175369661151757,2.09444743208802,-2.1665794165107086,-0.049986941152634,53,3,118,0.232800718439679,0.1316779768110517,1.046290903737489,-0.9542129741475072,-1.5233651646625854,-0.9542129741475072,6,10,48,32
20437,264,269.0,0.0535009743378614,0.0884529506369146,0.5899902377220464,-0.5396325086108217,0.0345778037638901,25,7,64,-0.0618725944562771,0.008724247476354,0.3523155743879441,0.0224809856368677,-0.3574788553737282,0.006876037477212,16,3,31,12
16768,152,416.0,0.4376366179018958,0.8859720751170373,1.297976052154991,-1.5843579765923548,0.4004823050765991,32,11,92,-0.3678919451995261,0.799153014962208,0.3269170169797666,-0.0273488806337461,-0.0273488806337461,-0.659802987787806,24,88,123,11
8849,143,142.0,0.1434736934416959,1.0481110051363691,1.0333614528832409,1.0333614528832409,-0.1568273882289891,39,26,66,0.0957833320148715,-0.0105693583497629,0.0439357426922259,-0.0393962267444493,-0.0393962267444493,-0.0611162609504208,3,8,16,5
20952,272,266.0,0.0414638953877477,-0.0792602065925622,0.4543536805307326,-0.4210267307312819,0.0280807503875758,31,6,51,0.2067480287593404,-0.0189032246152194,0.4356644353841663,-0.034201438465894,-0.5535559465765028,-0.034201438465894,9,2,22,11
11359,295,295.0,-0.0755428464041426,-0.1432078851298011,0.9105150770286998,-0.4486816122872449,-0.1745635066154258,20,9,37,-0.0439474043920259,-0.034327707942062,-0.134774141437821,0.6017030256379169,-0.2947548557180078,-0.097600235940118,20,8,37,9
16726,213,203.0,-0.0728826213947659,-0.4476090298656804,1.950717170392964,-1.382935164342503,-0.0901773013648395,24,4,38,-0.2277350287376596,0.0311360165052294,0.6586539999590033,-0.9064223509596752,-1.5614632949531493,-0.9064223509596752,5,7,31,19
10448,173,185.0,0.353400058505554,-0.4676353763694078,1.673608167362005,-0.9982825125726856,0.0328981666100904,42,34,84,1.3570855585455217,-0.0726165610260377,0.3419915716605852,-0.1655777054627455,-0.8613161731938376,-0.1655777054627455,10,10,39,19
17608,296,288.0,-0.0693783952960224,-0.6293039246961728,1.7140652710119813,-1.0499829052411955,-0.1176600905306574,25,8,41,-0.1279710347084897,-0.0642022305843185,0.7847347028876016,0.7740297461147956,0.7740297461147956,-0.0676793948436844,13,3,17,1
750,96,486.0,0.3626719863229467,0.6179451444917511,0.8547300925906508,-1.221603768352555,-0.4490005531067914,70,42,198,0.8140225890797936,0.0027912791903775,0.5348406966500141,0.1189526804028044,-0.8954153633585483,0.0010890975293691,24,4,40,12
9530,186,197.0,-0.0278715992685124,0.8881607223412468,0.8636846943411263,0.8636846943411263,-0.0281332783315786,27,1,29,0.2152777335093053,-0.0039236725388759,0.1151945001998649,-0.038229923505351,-0.3644884892948794,-0.038229923505351,9,3,25,13
11335,279,283.0,-0.0771312331676827,-0.1335744724889869,0.8479318134306179,-0.4375312077616898,-0.1953202945292947,20,16,44,-0.1404035156671718,-0.0513921912697553,-0.1218313148639612,0.4849463591634955,-0.2952864558560857,-0.1448256107132413,20,16,44,8
2348,304,337.0,-0.011283333001279,1.737224005394837,1.6440317136706488,1.6440317136706488,-0.0134624116578549,26,3,30,0.3625492923221516,0.010183197715189,0.1047808963128248,-0.2383784563195614,-0.3329690324068312,-0.2383784563195614,3,9,22,10
6074,231,232.0,-0.0189261818082,-0.1474319624665526,0.9897971474245684,-0.3575813870331943,-0.0376668294874265,21,5,34,0.3321680839287051,0.0111656856145682,0.1400622833201919,-0.0788634356304619,-0.2009655579917452,-0.0788634356304619,5,9,23,9
17981,258,293.0,0.008848112332012,1.096252992808078,1.0879224199455313,1.0879224199455313,-0.0064682549968167,39,6,46,0.2689031226667097,-0.0267839201065297,0.1665503813392005,-0.141814798483885,-0.2041945162373694,-0.141814798483885,4,10,25,11
742,188,213.0,0.2757739219692467,0.5989083638725266,0.4985188120042153,-0.8941469927567169,-0.3151531674048689,67,41,189,0.4985188120042153,-0.0165575959178663,0.5206829109711388,0.0883773347629877,-1.0003099422085566,-0.0169159142191033,21,1,35,13
